Evaluation

batch_size=10
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/NER/CoNNL_2003_shared_task/dev.txt'
dropout_ratio=0.5
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/oldcatalanmodel.vec'
emb_load_all=False
epoch_num=100
evaluator='token-acc'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=-1
load=None
lr=0.01
lr_decay=0.05
min_epoch_num=50
model='BiRNNCNNCRF'
momentum=0.9
opt='sgd'
patience=15
report_fn='2021_08_04_15-26_20_report.txt'
rnn_hidden_dim=100
rnn_type='LSTM'
save='2021_08_04_15-26_20_tagger.hdf5'
save_best=True
seed_num=42
test='data/NER/CoNNL_2003_shared_task/test.txt'
train='data/NER/CoNNL_2003_shared_task/train.txt'
verbose=True
word_len=20
word_seq_indexer=None

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test 
             93 |         496.82 |          96.36 |          90.91 |          91.04 
             94 |         445.29 |          96.90 |          91.45 |          91.35 
             95 |         384.39 |          96.88 |          91.29 |          91.68 
             96 |         458.91 |          96.85 |          91.11 |          90.91 
             97 |         464.95 |          96.85 |          91.05 |          91.35 
             98 |         425.18 |          96.87 |          91.41 |          91.65 
             99 |         400.00 |          96.79 |          91.43 |          91.30 
            100 |         505.87 |          96.88 |          91.41 |          90.81 
---------------------------------------------------------------------------------------
Final eval on test, "save best", best epoch on dev 94, token-acc, test = 91.35)
---------------------------------------------------------------------------------------*** Token-level accuracy: 91.35% ***
Input arguments:
python3 main.py --gpu -1

91.3476
